Year,Gender (M/F),PE Teacher,Curl-Ups,Push- Ups,Pacer,Mile
2019,M,Dyra,80,11,55,6:22
2018,F,Ribbens,80,21,73,7:08
2017,M,Grotthuss,80,39,71,5:34
2019,M,Taylor,80,X,98,6:39
2019,M,miller,80,10,45,7:30
2017,M,Ribbens,80,25,,
2019,M,K Miller,80,15,67,7:30
2018,F,Greene,61,33,62,
2019,F,K Miller,80,18,45,8:48
2018,M,Piane,80,20,105,6:00
2017,M,Grotthuss,74,35,66,7:55
2019,F,Dyra,76,25,61,7:48
2018,F,Magliocco,34,22,50,E
2018,M,Greene,23,18,50,7:13
2019,M,Grotthuss,80,55,95,6:02
2017,M,ZAVALA,40,31,60,6.31
2017,M,Grotthuss,80,50,71,6:48
2019,F,Grotthuss,80,31,50,8:01
2018,F,Ribbens,40,13,30,9:05
2017,F,janda,44,,32,6:48
2017,F,ZAVALA,20,15,26,11.07
2019,M,Dyra,80,15,63,7:25
2018,M,Taylor,50,12,41,11:28
2019,F,miller,30,11,12,7:40
2018,M,Magliocco,E,E,53,7:39
2018,M,Piane,80,23,105,
2019,F,Taylor,20,20,50,
2017,M,Dyra,31,5,40,8:02
2018,M,Grotthuss,80,42,7:50,7:50
2018,M,ZAVALA,80,12,29,8.29
2019,F,Grotthuss,80,40,24,8:16
2018,F,Greene,44,10,24,10:30
2018,F,Greene,37,34,64,
2019,M,Taylor,71,20,50,9:05
2017,M,Dyra,24,20,50,8:23
2017,F,Dyra,60,Rx,RX,RX
2017,F,Greene,22,10,31,10:30
2017,F,Ribbens,12,18,26,9:57
2019,M,Grotthuss,80,26,65,7:33
2019,F,Grotthuss,80,32,65,7:42
2018,F,Ribbens,57,80,52,8:27
2019,F,Grotthuss,50,20,45,9:02
2018,F,ZAVALA,3,15,30,9.15
2019,F,Grotthuss,80,31,60,7:36
2017,F,Greene,60,18,26,8:35
2019,F,miller,52,5,12,9:45
2017,M,ZAVALA,48,8,70,7.46
2019,M,Grotthuss,80,31,65,7:35
2018,M,Greene,80,34,40,6:31
2017,F,janda,13,3,32,9:49
2018,M,ZAVALA,80,17,78,6.04
2019,F,miller,80,12,26,9:45
2017,F,Greene,34,23,44,7:39
2017,M,ZAVALA,20,15,28,7:00
2017,M,Dyra,53,21,80,6:40
2018,M,Grotthuss,80,45,71,7:50
2017,M,Grotthuss,80,31,58,7:53
2019,M,K Miller,80,3,42,8:37
2019,M,Taylor,80,21,50,8:22
2018,F,janda,80,10,37,9:00
2019,M,Grotthuss,80,45,120,5:28
2019,F,K Miller,80,40,49,7:22
2019,F ,K Miller,46,16,x ,13:40
2017,F,Moses,30,12,35,9:53
2017,M,Greene,23,22,37,9:38
2017,F,ZAVALA,26,DNP,26,11.55
2017,M,ZAVALA,80,30,42,9.28
